emp_id,emp_name,email,job_title,department,designation,join_date
1,Shalne,slidgerton0@cyberchimps.com,Staff Scientist,Marketing,Chief Design Engineer,12/18/2001
2,Sanders,sdomerq1@issuu.com,Project Manager,Business Development,Chemical Engineer,12/7/2010
3,Keven,kpollington2@bravesites.com,Recruiter,Accounting,Registered Nurse,3/14/2007
4,Leta,lsandey3@chronoengine.com,Associate Professor,Accounting,Research Assistant IV,2/24/2021
5,Erich,egoney4@google.es,Automation Specialist III,Services,GIS Technical Architect,12/3/2022
6,Felisha,fgergolet5@cornell.edu,Media Manager IV,Business Development,Account Representative I,6/23/2022
7,Elisabeth,echettoe6@cnbc.com,Marketing Manager,Business Development,Analyst Programmer,3/31/2008
8,Even,emillery7@facebook.com,Environmental Tech,Services,Software Engineer I,8/14/2009
9,Nanine,nlamberti8@netlog.com,VP Sales,Sales,Recruiting Manager,6/30/2008
10,Cyndy,cstollberg9@cnbc.com,Engineer III,Services,VP Product Management,4/16/2013
11,Rosene,rbridgena@forbes.com,Structural Engineer,Sales,Senior Quality Engineer,11/23/2015
12,Doloritas,dharradineb@berkeley.edu,Marketing Assistant,Human Resources,Data Coordinator,1/22/2016
13,Vite,vbenthamc@ning.com,Geologist III,Accounting,Food Chemist,11/18/2012
14,Waneta,wcolebyd@usgs.gov,Clinical Specialist,Support,Design Engineer,6/19/2002
15,Allan,amallabare@imgur.com,Human Resources Manager,Training,Food Chemist,7/6/2010
16,Mervin,mizacf@wufoo.com,Help Desk Technician,Training,Biostatistician I,2/10/2001
17,Kaja,kgyeg@etsy.com,Assistant Professor,Accounting,Quality Engineer,9/15/2009
18,Mikael,mnorthedgeh@elpais.com,Developer II,Marketing,Senior Developer,1/28/2020
19,Arvy,ahoudmonti@ezinearticles.com,Administrative Officer,Accounting,Environmental Specialist,1/25/2017
20,Urson,udealj@google.co.uk,Systems Administrator III,Business Development,Programmer Analyst I,2/3/2021
21,Hamel,hespinak@pagesperso-orange.fr,Dental Hygienist,Accounting,Information Systems Manager,10/28/2016
22,Lewiss,llystonl@admin.ch,Actuary,Legal,Safety Technician III,11/3/2010
23,Paddie,pthurgoodm@xrea.com,VP Accounting,Product Management,Food Chemist,5/12/2003
24,Marcy,mgowrichn@domainmarket.com,Senior Cost Accountant,Training,Professor,11/7/2001
25,Christy,cskelhorno@cdbaby.com,Assistant Manager,Human Resources,Budget/Accounting Analyst III,10/21/2021
26,Gates,gandrejevicp@newsvine.com,Product Engineer,Legal,Associate Professor,3/16/2009
27,Hiram,hwyardq@hc360.com,Environmental Tech,Marketing,Tax Accountant,10/13/2004
28,Whitman,wbartczakr@furl.net,Analog Circuit Design manager,Sales,VP Quality Control,9/4/2022
29,Crissie,cfurzes@oracle.com,Associate Professor,Services,Legal Assistant,5/13/2018
30,Merell,mthaket@xing.com,Administrative Assistant III,Research and Development,Pharmacist,12/5/2015
31,Budd,bgoldingu@craigslist.org,Environmental Tech,Training,Technical Writer,2/24/2018
32,Fionna,fcartmerv@ucsd.edu,Quality Engineer,Product Management,Junior Executive,6/24/2020
33,Hale,hbrissardw@vinaora.com,VP Quality Control,Services,Human Resources Manager,10/10/2014
34,Brandy,bpenneyx@msu.edu,Nurse,Accounting,Computer Systems Analyst I,1/29/2016
35,Ryann,rklosay@qq.com,Desktop Support Technician,Engineering,Desktop Support Technician,3/28/2013
36,Alexis,aepinoyz@bravesites.com,Accountant III,Legal,Pharmacist,9/21/2004
37,Chrysler,caldis10@yandex.ru,Sales Associate,Product Management,Marketing Assistant,1/15/2019
38,Andriana,awaine11@w3.org,Nuclear Power Engineer,Engineering,Pharmacist,12/6/2004
39,Neils,nnabarro12@opensource.org,Senior Quality Engineer,Accounting,Senior Quality Engineer,9/12/2021
40,Averil,ascarff13@oracle.com,Legal Assistant,Business Development,Geological Engineer,6/25/2020
41,Esmaria,eivantyev14@adobe.com,Actuary,Legal,Clinical Specialist,11/10/2018
42,Hussein,hkelf15@microsoft.com,Chemical Engineer,Sales,Health Coach IV,11/15/2006
